"Design value to translate",翻訳する設計値
"<p>Advanced Reporting in included,
                    free of charge, in your Magento software. When you opt out, we collect no product, order, and
                    customer data to generate our dynamic reports.</p><p>To opt in later: You can always turn on Advanced
                    Reporting in you Admin Panel.</p>","<p>付属のアドバンスドレポーティング。
                    を無料でご利用いただけます。あなたがオプトアウトすると、私たちは、製品、注文、および
                    </p><p>後でオプトインするには。いつでもアドバンスドをオンにすることができます。
                    あなたの管理者パネルで報告します。</p>"
"Return to",戻る
Magento,マジェント
"ver. %1","ver. %1"
WK,WK
JavaScript/CSS,JavaScript/CSS
"<strong class=""colorRed>Warning!</strong> Enabling this feature is not recommended on production environments because it represents a potential security risk.""","<strong class=""colorRed>警告！</strong>この機能を有効にすることは、潜在的なセキュリティ リスクを示すため、本番環境では推奨されません。"""
"Use URL parameter to enable template path hints for Storefront",URLパラメータを使用してStorefrontのテンプレートパスヒントを有効にする
"Add the following parameter to the URL to show template hints ?templatehints=[parameter_value]",テンプレートヒントを表示するためのURLに以下のパラメータを追加します。
FTP,FTP
"Cart Price Rule Related",カート価格ルール関連
"Catalog Price Rule Related",カタログ価格ルール関連
"Dynamic Block Block Template",ダイナミックブロックブロックテンプレート
"Dynamic Block with ID: %s doesn't exist","ID を持つダイナミック・ブロック: %s は存在しません。"
"Dynamic Block Disabled",ダイナミックブロック無効
"Dynamic block cannot be displayed",ダイナミックブロックを表示できません
"%1 x %2","%1 x %2"
CAPTCHA,キャプチャ
AM,AM
PM,PM
"You moved the category.",カテゴリを移動しました
"Are you sure you want to remove this item from your Compare Products list?",商品比較リストからこの商品を削除してもよろしいですか？
"Are you sure you want to remove all items from your Compare Products list?",商品比較リストからすべてのアイテムを削除してもよろしいですか？
frontend_label,フロントエンドのラベル
"%1 - %2","%1 - %2"
"Percentage value must be a number between 0 and 100.",パーセンテージ値は0から100の間の数字でなければなりません
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId.","要求されたストアが見つかりません。行 ID。SKU = %SKU、ストア ID: %storeId"
"Invalid attribute Cost = %cost. Row ID: SKU = %SKU, Store ID: %storeId.","無効な属性 Cost = %cost。行 ID。SKU = %SKU、ストア ID: %storeId"
"Requested product doesn't exist. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求された製品は存在しません。行 ID。行 ID: %SKU = %SKU、ストア ID: %storeId、価格は From. price From: %priceFrom、Price To: %priceTo "
"Requested store is not found. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","要求されたストアが見つかりません。行 ID。SKU = %SKU、ストア ID: %storeId、価格設定元: %priceFrom、価格設定先: %priceTo。price From: %priceFrom、Price To: %priceTo "
"Invalid attribute %label = %priceTo. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","無効な属性 %label = %priceTo。行 ID。SKU = %SKU、ストア ID: %storeId、価格は %priceFrom、価格は %priceTo。priceFrom、PriceTo: %priceTo "
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Store ID: %storeId, Price From: %priceFrom, Price To: %priceTo.","無効な属性 Price = %price。行 ID です。行 ID: SKU = %SKU、ストア ID: %storeId、価格から。priceFrom、Price To: %priceTo 階層価格を保存できませんでした。"
"Could not save Tier Prices","Tier Pricesを保存できませんでした"
"Could not replace Tier Prices","Tier Pricesを置き換えることができませんでした"
"Could not delete Tier Prices","Tier Pricesを削除できませんでした。"
"Invalid attribute SKU = %SKU. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","無効な属性 SKU = %SKU。行 ID。SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty."
"Invalid attribute Price = %price. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","無効な属性価格 = %price。行 ID。SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty。"
"Invalid attribute Price Type = %priceType. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","無効な属性 Price Type = %priceType。行 ID。行 ID: SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty"
"Invalid attribute Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","無効な属性 Quantity = %qty。行 ID。SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty。"
"Invalid attribute Website ID = %websiteId. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","無効な属性 Web サイト ID = %websiteId。行 ID。SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty"
"We found a duplicate website, tier price, customer group and quantity: Customer Group = %customerGroup, Website ID = %websiteId, Quantity = %qty. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","重複した Web サイト、ティア価格、顧客グループ、数量が見つかりました。顧客グループ = %customerGroup、Web サイト ID = %websiteId、数量 = %qty。行 ID。行 ID: SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty。"
"No such entity with Customer Group = %customerGroup. Row ID: SKU = %SKU, Website ID: %websiteId, Customer Group: %customerGroup, Quantity: %qty.","顧客グループ = %customerGroup でそのようなエンティティはありません。行 ID を持つエンティティはありません。行 ID: SKU = %SKU、Web サイト ID: %websiteId、顧客グループ: %customerGroup、数量: %qty。"
"Database connection error",データベース接続エラー
"Database deadlock found when trying to get lock",ロックを取得しようとしたときにデータベースのデッドロックが見つかりました
"Database lock wait timeout exceeded",データベースロック待ち時間超過
"Could not get extension attributes",拡張属性を取得できませんでした
fl,fl
"Lock wait timeout",ロック待ちタイムアウト
123,123
"Customer Group Price",顧客グループ価格
%1,%1
"If your Magento installation has multiple websites, you can edit the scope to use the product on specific sites.",Magentoのインストールに複数のウェブサイトがある場合、特定のサイトで製品を使用するためにスコープを編集することができます。
"Please select a node.",ノードを選択してください。
"An attribute group named ""/name/"" already exists.","""/name/""という名前の属性グループが既に存在します。"
"%1 <span>x</span> %2 <span>px.</span>","%1 <span>x</span> %2 <span>px.</span>"
{size},{size}
"{width}^{height} px","{width}^{height} px"
OK,OK
"This value does not follow the specified format (for example, 200X300).",この値は、指定されたフォーマット（例えば、200x300）に従っていません。
"Media content will be inserted into the editor as a static URL. Media content is not updated if the system configuration base URL changes.",メディアコンテンツは、静的なURLとしてエディタに挿入されます。システム構成のベースURLが変更された場合、メディアコンテンツは更新されません。
"Time in seconds between the widget updates.
<br/>If not set, equals to 86400 seconds (24 hours). To update widget instantly, go to Cache Management and clear Blocks HTML Output cache.
<br/>Widget will not show products that begin to match the specified conditions until cache is refreshed.","ウィジェットが更新されるまでの時間を秒単位で指定します。
<br/>設定されていない場合は、86400 秒 (24 時間) に相当します。ウィジェットを瞬時に更新するには、「キャッシュ管理」で「ブロックHTML出力キャッシュ」をクリアします。
<br/>ウィジェットは、キャッシュがリフレッシュされるまで、指定した条件に一致し始めた商品は表示されません。"
"Add to Wishlist",欲しい物リストに追加
"Display Mode",表示モード
"Available Product Listing Sort By",利用可能な製品リストの並べ替え
"Default Product Listing Sort By",デフォルトの製品リストの並べ替え
"Skip to the end of the images gallery",画像ギャラリーの最後までスキップ
"Skip to the beginning of the images gallery",画像ギャラリーの先頭へスキップ
"Start typing to find products",商品を探すために入力を開始します
"Product with ID: (%1) doesn't exist","ID を持つ製品。(%1) が存在しません。"
"Category with ID: (%1) doesn't exist","IDを持つカテゴリ。(%1) が存在しません。"
"You added product %1 to the <a href=""%2"">comparison list</a>.","<a href=""%2"">比較リスト</a>に製品 %1 が追加されました。"
"Edit Product Design",製品デザインの編集
"Edit Category Design",カテゴリデザインの編集
"A total of %1 record(s) haven't been deleted. Please see server logs for more details.","合計で %1 レコードが削除されていません。詳細はサーバ・ログを参照してください。"
"Attribute Set Information",属性セット情報
"Failed to retrieve product links for ""%1""","製品リンクの取得に失敗しました""%1"""
Hrs,Hrs
Mins,Mins
catalog_rule,カタログルール
"Magento\CatalogRule\Api\Data\RuleInterface","MagentoCatalogRuleApi\DataRuleInterface"
200,200
100,100
50,50
30,30
20,20
"This value must be compatible with the corresponding setting in the configured search engine. Be aware: a low query length limit may cause the performance impact.","この値は、構成された検索エンジンの対応する設定と互換性がある必要があります。注意: クエリ長の制限値が低いと、パフォーマンスに影響を与える可能性があります。"
"This value must be compatible with the corresponding setting in the configured search engine.",この値は、設定された検索エンジンの対応する設定と互換性がなければなりません。
catalog_category,catalog_category
"Magento\Catalog\Api\Data\ProductInterface","MagentoCatalogApi\Data\ProductInterface"
"Magento\Catalog\Api\Data\CategoryInterface","MagentoCatalogApiData\CategoryInterface"
"Generate ""category/product"" URL Rewrites","""カテゴリ/製品 ""を生成する URL書き換え」について"
"URL key ""%1"" matches a reserved endpoint name (%2). Use another URL key.","URL キー ""%1"" は予約済みのエンドポイント名 (%2) と一致します。別の URL キーを使用してください。"
"Invalid URL key. The ""%1"" URL key can not be used to generate Latin URL key. Please use Latin letters and numbers to avoid generating URL key issues.","無効な URL キーです。""%1"" URL キーを使用して、ラテン文字の URL キーを生成することはできません。URL キーの問題を生成しないように、ラテン文字と数字を使用してください。"
"Invalid URL key. The ""%1"" category name can not be used to generate Latin URL key. Please add URL key or change category name using Latin letters and numbers to avoid generating URL key issues.","無効な URL キーです。""%1""カテゴリ名は、ラテン語の URL キーを生成するために使用できません。URLキーの問題が発生しないように、URLキーを追加するか、ラテン文字と数字を使用してカテゴリ名を変更してください。"
"<strong class=""colorRed"">Warning!</strong> Turning this option off will result in permanent removal of category/product URL rewrites without an ability to restore them.","<strong class=""colorRed"">警告！</strong> このオプションをオフにすると、カテゴリ/製品のURL書き換えが復元できずに永久に削除されます。"
"Catalog Url Rewrite Staging",カタログURL書き換えのステージング
"Catalog Products List",カタログ商品一覧
"Payment Page",ペイメントページ
"View and Edit Cart",カートの表示と編集
"Number of Items to Display Pager",ページャーを表示する項目数
"Mini Cart",ミニカート
"Display Mini Cart",ミニカートの表示
HTML,HTML
CMS,CMS
"Please rename the folder using only Latin letters, numbers, underscores and dashes.",ラテン文字、数字、アンダースコア、ダッシュのみでフォルダの名前を変更してください
LocalizedException,ローカライズされた例外
RuntimeException,ランタイム例外
"Edit Page Design",ページデザインの編集
cms_page,cms_page
cms_block,cms_block
"Magento\Cms\Api\Data\BlockInterface","MagentoCmsApiData\\BlockInterface"
"Magento\Cms\Api\Data\PageInterface","MagentoCmsApiData\\PageInterface"
"We can't save this option because Magento is not installed. To lock this value, enter the command again using the --%1 option.",Magentoがインストールされていないので、このオプションを保存することはできません。この値をロックするには、--%1オプションを使用してコマンドを再度入力してください。
"The value you set has already been locked. To change the value, use the --%1 option.","設定した値はすでにロックされています。値を変更するには --%1 オプションを使用してください。"
"Configuration for path: ""%1"" doesn't exist","パスの設定。パスの設定: """"%1""""は存在しません。"""
"HTTPS (SSL)","HTTPS (SSL)"
"Yes (302 Found)","はい（302 件見つかりました）"
"Yes (301 Moved Permanently)",はい（301は永久に移動しました）
"%1: Instance of %2 is expected, got %3 instead","%1: %2 のインスタンスが期待されますが、代わりに %3 を取得しました"
"Filesystem is not writable.",ファイルシステムは書き込み可能ではありません
"error message",エラーメッセージ
some_label,"幾つかのラベル"""
some_comment,一言
Taiwan,台湾
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.",この製品に含める各属性の値を選択します。値のユニークな組み合わせごとに、ユニークな製品SKUが作成されます。
"Choose this option to delete and replace extension data for all past configurations.",このオプションを選択すると、過去のすべての構成の拡張子データを削除して置き換えることができます。
"When you remove or add an attribute, we automatically update all configurations and you will need to recreate current configurations manually.",属性を削除または追加すると、すべての構成が自動的に更新されるため、現在の構成を手動で再作成する必要があります。
"Buy %1 for %2 each and",%1を%2ずつ購入して
save,セーブ
"Cookies are disabled in your browser.",お使いのブラウザではクッキーが無効になっています
"Enter the Cookie Lifetime in seconds.",クッキーの有効期限を秒単位で入力してください
"Enter a valid cookie path. e.g. /",有効なクッキーのパスを入力してください。
"Enter a valid domain name. e.g. ""subdomain.yourdomain.com"", "".yourdomain.com""","有効なドメイン名を入力してください。例： ""subdomain.yourdomain.com"", "".yourdomain.com"""
"When Cookie Restriction Mode is enabled, visitors to your store are notified that cookies are required for full-featured operations.",クッキー制限モードが有効になっている場合、お客様の店舗への訪問者には、フル機能の操作にクッキーが必要であることが通知されます。
"Invalid callback: Not_Existed_Class::execute can't be called","無効なコールバックです。Not_Existed_Class::execute を呼び出すことができません。"
"Test exception",テスト例外
Yes/No,はい/いいえ
URL,URL
"No such entity with %fieldName = %fieldValue, %field2Name = %field2Value","%fieldName = %fieldValue, %field2Name = %field2Value でそのようなエンティティはありません"
NoSuchEntityException,NoSuchEntityException
InputException.,InputExceptionを使用しています。
InputException,インプットException
"region is a required field.","region は必須項目です"
"regionId is a required field.",regionIdは必須項目です
Fax,ファックス
"%name,","%name,"
"
                        This email will be sent instead of the Default Welcome Email, if a customer was created without password. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                       このメールは、パスワードなしで作成された場合、デフォルトのウェルカムメールの代わりに送信されます。 <br /><br />
                       ""Default""オプションが選択されている場合、テーマのフォールバックに基づいて選択されたメールテンプレート。
                    "
"
                        This email will be sent instead of the Default Welcome Email, after account confirmation. <br /><br />
                        Email template chosen based on theme fallback when ""Default"" option is selected.
                    ","
                        このメールは、アカウント確認後、デフォルトのウェルカムメールの代わりに送信されます。<br /><br /> 
                        ""Default""オプションが選択されている場合、テーマのフォールバックに基づいて選択されたメールテンプレート。
                    "
"
                        Semicolon (;) separated values.<br/>Leave empty for open text field.
                    ","
                        セミコロン(;)で区切られた値。
                    "
"Only 'b', 'br', 'em', 'i', 'li', 'ol', 'p', 'strong', 'sub', 'sup', 'ul' tags are allowed",b'、'br'、'em'、'i'、'li'、'ol'、'p'、'strong'、'sub'、'sup'、'ul'タグのみ許可されています
"If your Magento installation has multiple websites, you can edit the scope to associate the customer with a specific site.",Magentoのインストールに複数のウェブサイトがある場合、スコープを編集して特定のサイトに顧客を関連付けることができます。
"Associate to Website",ウェブサイトに関連付ける
"The Date of Birth should not be greater than today.",生年月日は今日より大きくしてはいけない
"The store view is not in the associated website.",ストアビューが関連するウェブサイトにない
"The Store View selected for sending Welcome email from is not related to the customer's associated website.",ウェルカム・メールを送信するために選択されたストア・ビューは、顧客の関連するウェブサイトに関連していません。
"By admin: %1.","管理者による: %1"
"Customer Address Attributes",顧客アドレス属性
"Length Only",長さのみ
"A fieldset with the same code already exists.",同じコードを持つフィールドセットが既に存在します。
"%1 does not implement %2","%1 は %2 を実装していません"
"File app/etc/%1 can't be read. Please check if it exists and has read permissions.","ファイル app/etc/%1 を読み込むことができません。存在し、読み取り権限があるか確認してください。"
"There are no sensitive configurations to fill",機密性の高い設定はありません
"Value can't be empty",値は空にできない
"A configuration with this path does not exist or is not sensitive",このパスを持つ設定が存在しないか、機密性がない
"some message",複数のメッセージ
"Client side compilation doesn't work in production mode",クライアント側のコンパイルが本番モードでは動作しない
"Log to File",ファイルへのログ
"Modifying this configuration has no effect in production mode.",この構成を変更しても、本番モードでは効果がありません。
Inches,インチ
cm,センチ
DHL,DHL
"Whether to use Documents or NonDocuments service for non domestic shipments. (Shipments within the EU are classed as domestic)","国内輸送以外の貨物でDocumentsサービスを利用するか、NonDocumentsサービスを利用するか。(EU域内の貨物は国内に分類されます) "
"
                        Base currency is used for all online payment transactions. The base currency scope is defined by the catalog price scope (""Catalog"" > ""Price"" > ""Catalog Price Scope"").
                    ","
                        基準通貨は、すべてのオンライン決済取引で使用されます。基準通貨スコープは、カタログ価格スコープ（「カタログ」＞「価格」＞「カタログ価格スコープ」）で定義されています。
                    "
Fixer.io,Fixer.io
"The ""%1"""" is not allowed as base currency for your subscription plan.""","""%1""""は、サブスクリプションプランの基準通貨として許可されていません"""
"No API Key was specified.",APIキーが指定されていませんでした。
U,U
"Link URL's domain is not in list of downloadable_domains in env.php.",リンクURLのドメインがenv.phpのdownloadable_domainsのリストにない
"Sample URL's domain is not in list of downloadable_domains in env.php.",サンプルURLのドメインがenv.phpのdownloadable_domainsのリストにありません。
"Admin store attribute option label ""%1"" is already exists.","管理者ストア属性オプションラベル「%1""""」が既に存在します。"""
a,a
an,an
and,and
are,are
as,as
at,at
be,be
but,but
if,if
into,into
it,it
not,not
on,on
s,s
such,such
t,t
that,that
the,the
their,their
then,then
there,there
these,these
they,they
this,this
will,will
with,with
"Minimum Terms to Match",最低限の条件が一致していること
"<pre> %1 </pre>","<pre> %1 </pre>"
"Load Default Template",デフォルトテンプレートの読み込み
"Hub ID","Hub ID"
"Can't convert a shipping cost from ""%1-%2"" for FedEx carrier.","FedEx 運送会社の ""%1-%2"" から送料を変換できません。"
"%1 [%2]","%1 [%2]"
"This won't take long . . .",長くはかからないだろう・・・
%store_name,ストア名
"%1 email(s) were sent.",%1のメールが送信されました。
"The gift wrapping ID is incorrect. Verify the ID and try again.",ギフトラッピングのIDが間違っています。IDを確認してから再度お試しください。
"Requested gift wrapping does not exist.",要求されたギフト包装は存在しません。
"Google AdWords","Google AdWords"
"Google API","Google API"
"Google Analytics Enhanced Ecommerce Settings",Googleアナリティクスの強化されたEコマースの設定
"Fixed Price: From","定価 から"
" "," "
"Validation Strategy",バリデーション戦略
"For Type ""Local Server"" use relative path to &lt;Magento root directory&gt;/var/import/images, e.g. <i>product_images</i>, <i>import_images/batch1</i>.<br><br>For example, in case <i>product_images</i>, files should be placed into <i>&lt;Magento root directory&gt;/var/import/images/product_images</i> folder.","タイプ""ローカルサーバー""の場合は、&lt;Magentoのルートディレクトリ&gt;/var/import/imagesへの相対パスを使用してください。 <br><br>例えば、<i>product_images</i>の場合は、<i>&lt;Magentoのルートディレクトリ&gt;/var/import/images/product_images</i>フォルダにファイルを配置する必要があります。"
"New product data is added to existing product data entries in the database. All fields except SKU can be updated.",新しい商品データは、データベース内の既存の商品データエントリに追加されます。SKU以外のすべてのフィールドを更新することができます。
"All existing product data is replaced with the imported new data. <b>Exercise caution when replacing data. All existing product data will be completely cleared and all references in the system will be lost.</b>",既存のすべての商品データが、インポートされた新しいデータに置き換えられます。<b>データを置き換える際には注意が必要です。既存のすべての製品データは完全にクリアされ、システム内のすべての参照が失われます。</b>
"Any entities in the import data that match existing entities in the database are deleted from the database.",インポートデータの中で、データベース内の既存のエンティティと一致するエンティティは、データベースから削除されます。
"Message is added to queue, wait to get your file soon. Make sure your cron job is running to export the file",メッセージがキューに追加されました。ファイルをエクスポートするためにcronジョブが実行されていることを確認してください。
"Invalid response",無効な応答
"File %1 deleted","ファイル %1 が削除されました"
"Please provide valid export file name",有効なエクスポートファイル名を提供してください
"%1 is not a valid file","%1 は有効なファイルではありません。"
"Invalidate index",インデックスを無効にする
"We couldn't invalidate indexer(s) because of an error.",エラーが発生したので、インデクサを無効にできませんでした。
"%1 indexer(s) were invalidated.","%1 インデクサが無効になりました。"
